Year,Geography,Selection Filter,Selection Value,Max. % Total Population,Max. Sub-Population,Max. Total Population
2011,San Juan,Race/Ethnicity,Pacific Islander Only-NH,0.088785223,14.16,15949
2011,Pierce,Race/Ethnicity,Pacific Islander Only-NH,1.340244705,10777.54,804147
2011,Pend Oreille,Race/Ethnicity,Pacific Islander Only-NH,0.115214841,14.93,12958
2011,Pacific,Race/Ethnicity,Pacific Islander Only-NH,0.075738822,15.94,21046
2011,Okanogan,Race/Ethnicity,Pacific Islander Only-NH,0.062009763,25.49,41106
2011,Mason,Race/Ethnicity,Pacific Islander Only-NH,0.347040631,212.08,61111
2011,Lincoln,Race/Ethnicity,Pacific Islander Only-NH,0.053386802,5.65,10583
2011,Lewis,Race/Ethnicity,Pacific Islander Only-NH,0.140028449,106.69,76192
2011,Klickitat,Race/Ethnicity,Pacific Islander Only-NH,0.091988872,18.86,20502
2011,Kittitas,Race/Ethnicity,Pacific Islander Only-NH,0.142537904,58.65,41147
2011,Kitsap,Race/Ethnicity,Pacific Islander Only-NH,0.885924765,2252.79,254287
2011,King,Race/Ethnicity,Pacific Islander Only-NH,0.745691349,14493.32,1943608
2011,Jefferson,Race/Ethnicity,Pacific Islander Only-NH,0.201624212,60.75,30130
2011,Island,Race/Ethnicity,Pacific Islander Only-NH,0.471534038,372.25,78944
2011,Grays Harbor,Race/Ethnicity,Pacific Islander Only-NH,0.228903115,167.08,72992
2011,Grant,Race/Ethnicity,Pacific Islander Only-NH,0.064102115,57.7,90013
2011,Garfield,Race/Ethnicity,Pacific Islander Only-NH,0,0,2264
2011,Franklin,Race/Ethnicity,Pacific Islander Only-NH,0.130142868,104.73,80473
2011,Ferry,Race/Ethnicity,Pacific Islander Only-NH,0.102151423,7.69,7528
2011,Douglas,Race/Ethnicity,Pacific Islander Only-NH,0.139558784,53.83,38572
2011,Cowlitz,Race/Ethnicity,Pacific Islander Only-NH,0.238460891,244.96,102725
2011,Columbia,Race/Ethnicity,Pacific Islander Only-NH,0.293672426,11.97,4076
2011,Clark,Race/Ethnicity,Pacific Islander Only-NH,0.657656242,2817.58,428427
2011,Clallam,Race/Ethnicity,Pacific Islander Only-NH,0.128174239,91.82,71637
2011,Chelan,Race/Ethnicity,Pacific Islander Only-NH,0.12043697,87.5,72652
2011,Benton,Race/Ethnicity,Pacific Islander Only-NH,0.137778012,245.25,178004
2011,Asotin,Race/Ethnicity,Pacific Islander Only-NH,0.154423364,33.38,21616
2011,Adams,Race/Ethnicity,Pacific Islander Only-NH,0.018342067,3.48,18973
2011,Washington State,Race/Ethnicity,Multi-Race-NH,3.9,265615.14,
2011,Yakima,Race/Ethnicity,Multi-Race-NH,1.778350974,4350.42,
2011,Whitman,Race/Ethnicity,Multi-Race-NH,3.275113398,1454.62,
2011,Whatcom,Race/Ethnicity,Multi-Race-NH,3.288204186,6642.06,
2011,Walla Walla,Race/Ethnicity,Multi-Race-NH,2.224648061,1308.14,
2011,Wahkiakum,Race/Ethnicity,Multi-Race-NH,2.896692264,116.56,
2011,Thurston,Race/Ethnicity,Multi-Race-NH,4.634887991,11795.11,
2011,Stevens,Race/Ethnicity,Multi-Race-NH,3.202822194,1398.25,
2011,Spokane,Race/Ethnicity,Multi-Race-NH,3.488593071,16547.08,
2011,Snohomish,Race/Ethnicity,Multi-Race-NH,3.984001836,28556.32,
2011,Skamania,Race/Ethnicity,Multi-Race-NH,2.863940727,317.66,
2011,Skagit,Race/Ethnicity,Multi-Race-NH,2.392389933,2806.56,
2011,San Juan,Race/Ethnicity,Multi-Race-NH,2.406292715,383.77,
2011,Pierce,Race/Ethnicity,Multi-Race-NH,5.876697845,47257.3,
2011,Pend Oreille,Race/Ethnicity,Multi-Race-NH,2.568681319,332.86,
